G1F022_lb_E2	G1F022_lb_null	G1F025_lb_null	G1F025_v_null	G4F019_lb_null	G4F019_v_E2	G4F019_v_null	G4F020_lb_E2	G4F020_lb_null	G4F020_v_null	MAF003_lb_null	MAF003_v_null	MAF006_lb_E2	MAF006_lb_null	MAF006_v_E2	NOF007_lb_E2	NOF007_lb_null	NOF007_v_E2	NOF007_v_null	NOF009_lb_E2	NOF009_lb_null	WEF001_lb_null	WEF001_v_E2	WEF001_v_null	WEF002_lb_E2	WEF002_lb_null	WEF002_v_null	DVF007_lb_null	DVF007_v_E2	DVF007_v_null	DVF008_lb_E2	DVF008_lb_null	DVF008_v_E2	DVF008_v_null	LAF007_lb_E2	LAF007_lb_null	LAF007_vert_null	LAF008_lb_null	LAF008_vert_null	WAF011_lb_E2	WAF011_lb_null	WAF011_v_E2	WAF011_v_null	WAF014_lb_E2	WAF014_lb_null	WAF014_v_E2	WAF014_v_null
ENSFDAG00000000040	0.164858073057047	0.391319762210223	0.503947053809128	-1.08239212045375	0.373434292263482	0.455067292316402	0.829096553766347	-0.841379521737468	-0.211811928717189	-0.509013240973462	-0.86205265427246	-2.79527678677805	1.97697310617372	0.693254200287737	0.288355157873407	0.126718403318518	-1.13410016180897	-1.87006065011114	0.215236869111904	1.47461123126645	1.80099007709188	0.676712290593634	1.12070799126877	0.424631816306284	-0.607294278285703	-0.494207918702622	-1.41485043485849	1.21596116538384	-0.397788917569982	-0.917240655796541	1.00415417466882	0.0208864558534492	-0.554845134639602	-0.166592226326474	1.44164319687305	1.0794642229823	0.00210351952746102	-0.783240613461544	-1.63746478236613	-2.50294204685537	-2.78699961668295	-1.13558779542446	-1.54239641880106	2.48365679504329	2.5877088415201	1.27123282531863	1.70745084057118
ENSFDAG00000000511	-0.232236573855327	0.0624527250981037	0.240810606972065	-0.0720929549869007	-0.0567739918843495	-0.0846214703393571	-0.0482539669030837	0.166538083383792	0.000826240094328412	0.0218135927257137	-0.340883737318132	-0.0450651273968115	0.493841504487943	0.176600959242135	-0.284833104791659	-0.12914502124954	-0.886315003871462	-0.963039190254342	-0.00445186441035617	0.860298057170171	1.12649827286041	0.524650539453489	0.152690529779847	0.285139619192393	-0.447944570207648	-0.121474636675594	-0.396003811076089	-0.0965349960629469	0.189183443304405	0.0781492071143797	-0.0913655777259308	-0.105725270953654	-0.154340684328361	0.178935621154676	0.549171526522191	0.597410140560807	0.106753022923455	-0.43265009888702	-0.820111825138834	-1.16071544931986	-0.839088112656714	-0.735099410469411	-1.08374943730457	1.4229740331396	1.3869189429746	0.612695034542996	0.39428776993903
ENSFDAG00000000633	0.0410955353654181	0.082188118798916	0.42480852638873	-0.547959733213062	-0.399484492369998	0.219120989050922	-0.164886992373571	-0.00363223767075649	0.204543930418753	0.143951853003765	-0.73209969358752	-0.928522254080542	1.22634855003648	0.693907060054824	-0.262209552148132	-0.25585934721536	-0.910487394251069	-1.46063013778153	-0.11044567887398	1.11456939910009	1.61018653410097	0.274213407020673	0.592017759875779	-0.0334784818416853	-0.693122711385431	0.415505655673031	-0.553947928824556	0.11511726170476	-0.125342326249999	-0.170509412075757	0.179318895763942	0.225217714677951	-0.0911268059373347	-0.131720949537713	0.722411688844407	0.289153354585957	-0.0676309837910525	-0.497399383964784	-0.44433423990017	-0.771683975365165	-0.94389630955726	-0.764933857314988	-0.710594923466209	1.04986413430778	1.1747866877843	0.515080383193348	0.451422616514693
ENSFDAG00000000809	-0.112181233094736	0.13106302184102	0.316393264224287	-0.32371867467289	-0.229937980704854	0.137610637107714	-0.0644970379167304	0.00102975177056219	-0.0771939298808286	0.248392835345315	-0.619679762665769	-1.08225984750874	0.447963782457009	1.00343526448213	0.378072643542333	-0.028681540367689	-0.598933555819523	-0.76908704526152	-0.20102542319224	0.564360898291496	1.04539654000039	0.372437529099383	0.504920978477299	-0.0730874252618143	-0.0167586449738462	-0.350323414761313	-0.576850539710796	0.160491520167303	0.151007990764568	0.124371295122478	0.0384338247657379	0.0122273321689974	-0.0562059846440279	-0.437712540677484	1.03793260722349	-0.0882620367616029	-0.112826509992138	-0.392557134551428	-0.423749625567543	-0.231571406486816	-0.93819387501439	-1.02219628855631	-0.20107835974415	0.508582346388867	0.914365142368021	0.281493352175668	0.671059653852306
ENSFDAG00000001619	0.299989519522765	0.554316122826598	0.233853979398973	-1.09526415735846	-0.147457117275098	0.456034430198972	-0.196414246827588	-0.0336783205219482	-0.157325188446272	0.0938445908700891	-1.07693391713699	-1.98972693795545	0.0718647068247069	1.53420995122779	0.650720181247348	0.0786619004954963	-0.733717258309159	-1.63320553659105	0.169579498752292	1.00319253669141	1.47790358450328	0.618170002458828	0.696887040921113	0.527886844685654	-0.461471222896832	-0.850519572263146	-0.828204768833701	1.42500967948951	-1.7707907366975	0.132274353021924	0.600240461462377	0.0384743485536398	0.121753758439876	-0.0586515317197469	1.37241901899988	1.11638013126133	0.269442581631932	-0.406432630253554	-2.23612048179501	-1.68032415777059	-2.27288745853769	-1.41981051703368	-1.94096198225298	2.42532718918009	2.41676991764563	1.53920345234112	1.08724299074706
ENSFDAG00000001689	0.422685084098651	-0.221216105931215	-0.206562933431847	0.0392877416270423	0.245947135593413	0.344416382463169	-0.0637031853101107	0.104925079683436	-0.25037753201312	-0.367371245018572	0.222192765651185	0.103346577835165	-0.22580288225778	-0.297717018744077	0.238654858396561	0.143053188470867	0.401776996921391	0.0135844287677589	0.535632766932395	-0.527329267683297	-0.524935133645082	0.211530429033958	0.131032849734841	-0.000315102975390502	-0.0509730446764181	-0.230862629434899	-0.141458997433663	-0.553171910708908	0.0443736982392968	0.0192653416006676	0.0440703817707835	-0.0364196873778928	0.133358605493756	0.298409248637769	-0.255725312947406	-0.362104031391106	0.216681605465208	0.145055303783899	0.254124439378168	-0.207215800415047	0.252583197198615	0.308853393988002	0.165177914948331	-0.201409216327022	-0.365796536174507	0.212921833044467	-0.214398998513699
ENSFDAG00000001690	0.144018391085602	0.382603436327794	0.110937116361426	-0.64533010343271	-0.116995985797389	0.576220697064766	0.182573014718066	-0.231344200489533	-0.0109528099400213	-0.349561517556235	-1.41450966558955	-2.19538960673079	1.57463989655446	0.817670907392587	0.706105002762645	0.00771246170408801	-1.53909760540649	-2.41483342148777	0.506481106426419	1.5068420363855	1.98578162130559	0.936870370289717	1.00714822041299	0.451951255228266	-1.10417581919176	-0.147108862342725	-1.22991437261231	0.472951190466788	-0.107927722257164	0.0186496278182702	-0.0248074815407096	0.283817436956433	-0.425412717264109	-0.0922275466043367	1.58516651338393	0.776834060778443	0.402382511009771	-0.818474929124127	-1.72102785842392	-2.34379460075956	-2.69762820986309	-1.55705240932058	-1.51161345788898	2.46858595740104	2.70732003431677	1.58483086238627	1.68648540241904
ENSFDAG00000001714	-0.0745783358844481	-0.124259612856227	0.252178982920465	-0.0500787705193586	0.0862485115727472	-0.179250789151671	-0.161804089832628	0.0591526836193017	0.13841317809911	0.0253569594700744	-0.00362525687246418	0.159722845168636	0.315793736713547	-0.253120831781883	-0.171101185294562	-0.215120761953767	-0.360390057621547	-0.661747268536487	-0.314544922766858	0.653177111123287	1.02070139903657	0.438085901727809	0.181825421716469	0.284261885827995	-0.159719341356091	-0.619514690909546	-0.261497591600544	0.347379868087871	0.0305784340185333	0.136995199002726	-0.00448546660138849	-0.358562147274951	-0.234189668129768	0.163604131751348	0.13298246373257	0.417488504155802	-0.111434512106577	-0.11274225890801	-0.33011809840678	-0.580971297948585	-0.21016656784361	-0.371713227649436	-0.571408915272839	0.814250369084862	0.632530552048357	0.496886703821563	-0.174858832987199
ENSFDAG00000002238	-0.151529586925056	0.122413173517734	0.0299413358904488	-0.00958831470965649	-0.28328169523154	-0.0571540505174601	-0.146256388366796	-0.175631898011377	0.172459108185063	0.478299443219443	0.0134212649859231	0.548745398992768	-0.0899558633954731	-0.0531230200554758	-0.345997678096069	-0.157213148036177	-0.561855815980958	-0.68466461899043	-0.0778391938555503	0.689608922489732	0.859824528796065	0.315165999319716	-0.0267736747442475	-0.134376126129535	0.0487825568459463	-0.349605141116829	0.0549920784126243	0.0316525854563459	0.34498252062571	0.0990160973246059	-0.0546514007435048	-0.163918187568948	-0.42335483290675	0.186109180280499	0.00570499708152816	0.574423288643448	0.0370145481470043	-0.18325876730294	-0.454802873582262	-0.643082027861752	-0.316030585583047	-0.107946091311775	-0.58310327822579	0.813138718377881	0.691756959825114	0.272486494598041	-0.108861466547424
ENSFDAG00000004439	0.0947520576250076	0.491825016387663	0.487344534513542	-1.14025535224881	-0.1358968922997	0.533527542801796	0.219249481808846	-0.444918504723803	0.081758783883485	-0.207165651641914	-1.04987346615161	-1.81239827320336	1.47453128419701	0.249025960986291	0.527968796014203	0.290680865006173	-1.51599312974992	-2.01547896156306	0.62897763211394	1.36040123011774	1.62534728638446	0.72305181886618	0.791153113186257	0.604499695654316	-0.594273928279859	-0.24427726927281	-1.49012036791786	0.738036839427459	-0.869273159169092	1.41592592709319	1.11297495653124	-0.828834567225907	-1.95492169378514	0.631160891984599	1.47738726629244	1.00745725009707	0.600285564058759	-1.20904947889885	-1.76698359792382	-2.47944979460487	-2.78579205000703	-1.82569549081324	-1.65988110993152	2.70978606155088	2.84928812258294	1.75142502555161	1.83217970289692
